objectid,zip_code,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
1,19102,83,2018,2024,2458054.85,129848.62,39426.09,107056.29,2734385.85,32944.41
2,19103,249,1982,2024,3368755.8,174946.55,29126.96,245899.05,3827659.89,15372.13
3,19104,1890,1978,2024,11686379.54,1619246.93,283583.25,1669524.54,15258734.26,8073.4
4,19106,268,1978,2024,3300506.59,218710.37,50537.31,285136.65,3854890.92,14383.92
5,19107,272,1978,2024,4824149.51,367217.96,68808.5,251006.7,5511182.67,20261.7
6,19108,1,2018,2018,47460.8,18509.92,3322.2,4055.31,73348.23,73348.23
7,19111,738,1988,2024,3814358.4,469643.26,79368.42,607042.41,4970531.38,6735.14
8,19112,4,2011,2024,159885.76,21109.89,3427.16,4948.06,189370.87,47342.72
9,19114,407,1986,2024,2246505.98,466124.82,58707.74,331653.01,3102991.55,7624.06
10,19115,284,1978,2024,1518656.93,239206.57,29649.19,224416.84,2011929.53,7084.26
11,19116,324,1979,2024,2531854.5,202312.47,36325.15,266268.58,3036760.7,9372.72
12,19118,170,2007,2024,2405156.51,121690.12,33852.3,115637.49,2676336.42,15743.16
13,19119,966,1978,2024,6469387.84,776399.48,103373.58,829232.13,8178393.03,8466.25
14,19120,2048,1978,2024,6926379.9,1282215.47,163131.21,1546578.03,9918304.61,4842.92
15,19121,3005,1978,2024,10149836.15,2146076.93,252591.14,2643566.63,15192360.74,5055.69
16,19122,1316,1978,2024,6813807.85,923129.27,135504.93,1299650.41,9175390.49,6972.18
17,19123,612,1978,2024,7687895.99,537239.92,85948.81,611413.89,8922498.61,14579.25
18,19124,2425,1978,2024,8972366.24,2169909.36,265378.28,2254655.89,13662591.39,5634.06
19,19125,1260,1978,2024,7047584.92,580560.75,114306.48,962373.77,8705282.13,6908.95
20,19126,598,1979,2024,3587448.61,546782.2,62942.07,518434.42,4715607.3,7885.63
21,19127,210,1978,2024,1333182.67,277792.11,34371.35,252165.75,1897511.88,9035.77
22,19128,563,1978,2024,3819642.7,782191.84,93836.62,643182.45,5344599.79,9493.07
23,19129,374,1978,2024,1973448.53,431341.58,45547.15,414988.46,2865325.72,7661.3
24,19130,495,1978,2024,4959967.96,423550.83,79246.75,489517.6,5952283.14,12024.81
25,19131,2654,1978,2024,10047544.86,2785630,287016.23,2443748.19,15563939.28,5864.33
26,19132,6226,1978,2024,17095093.65,8324110.06,626497.78,6946706.77,32993683.83,5299.34
27,19133,3706,1978,2024,7881379.48,2736695.48,284544.23,3455076.03,14358607.89,3874.42
28,19134,4518,1978,2024,12868051.74,3142020.4,355459.3,3653427.8,20022035.8,4431.61
29,19135,753,1990,2024,2930760,417109.3,69874.85,551898.57,3970864.74,5273.39
30,19136,526,1989,2024,2598517.39,370641.1,61488.22,413975.54,3444675.79,6548.81
31,19137,387,1989,2024,2114647.21,353079.44,50294.8,389104.65,2907126.1,7511.95
32,19138,2205,1978,2024,10130623.04,2647640.11,262785.81,2163273.43,15204322.39,6895.38
33,19139,3363,1978,2024,12581760.28,3109503.88,370458.51,3230605.23,19292378.85,5736.66
34,19140,5914,1977,2024,17812950.85,6517106.22,619720.48,5698720.64,30648600.21,5182.38
35,19141,1933,1978,2024,7427848.34,1772479.24,203965.76,1700559.25,11104983.65,5744.95
36,19142,2101,1978,2024,6272191.97,2105757.42,225417.77,2046842.54,10650582.8,5069.29
37,19143,4745,1978,2024,17961840.86,4115882.43,498004.95,4301025.95,26877864.03,5664.46
38,19144,2304,1978,2024,11066319.93,3271915.92,335899.49,2600382.22,17275929.45,7498.23
39,19145,1536,1978,2024,7114659.61,611852.97,133820.17,1100682.93,8961015.68,5833.99
40,19146,1982,1978,2024,11683934.1,1044592.37,221690.99,1574445.28,14529655.64,7330.81
41,19147,862,1978,2024,6631809.36,560339.62,114406.48,676627.87,7983183.33,9261.23
42,19148,1382,1982,2024,7588580.55,790701.85,149772.87,994502.26,9523557.53,6891.14
43,19149,661,1988,2024,2659755.32,273639.78,52988.13,439452.09,3425835.32,5182.81
44,19150,1004,1978,2024,5466556.13,491138.45,84135.38,692479.7,6734309.66,6707.48
45,19151,1350,1982,2024,6013524.43,975841.02,140703.25,1165504.71,8296614.34,6145.64
46,19152,386,1992,2024,2199206.54,233313.99,33927.36,291116.77,2761360.92,7153.78
47,19153,376,1978,2024,2111993.23,260624.44,65825.44,295530.14,2733973.25,7271.21
48,19154,402,1978,2024,2997407.38,393794.13,57124.09,351928.27,3800253.87,9453.37
49,19192,3,2024,2024,278206.38,0,0,10365.38,288571.76,96190.59
50,Other/Unidentified,86,1978,2024,352004.92,313183.02,24415.17,122414.31,812017.42,9442.06
